,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__n_neighbors,param_logreg__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,frac_errors
279,0.007199907302856445,0.00039975669819537486,0.00279998779296875,0.0003999474613569511,19,1.0,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(1.0)}",0.8435754189944135,0.8370786516853933,0.8202247191011236,0.8258426966292135,0.8651685393258427,0.8383780051471973,0.015704202657930235,62,0.1616219948528027
280,0.009199905395507812,0.0003993317585137546,0.004259586334228516,0.00038771931057470145,19,1.1,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(1.1)}",0.8379888268156425,0.8314606741573034,0.8202247191011236,0.8202247191011236,0.8651685393258427,0.8350134957002071,0.016542174094243984,420,0.1649865042997929
281,0.008047389984130859,0.0008476078374271574,0.003106975555419922,0.0004989455414177617,19,1.2,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(1.2000000000000002)}",0.8379888268156425,0.8314606741573034,0.8202247191011236,0.8202247191011236,0.8651685393258427,0.8350134957002071,0.016542174094243984,420,0.1649865042997929
282,0.008550167083740234,0.0013959592228362672,0.003201198577880859,0.0004002098387788007,19,1.3,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(1.3000000000000003)}",0.8435754189944135,0.8314606741573034,0.8202247191011236,0.8202247191011236,0.8651685393258427,0.8361308141359614,0.01689040882652873,377,0.16386918586403865
283,0.008743381500244141,0.0005305494221919507,0.0036211490631103517,0.0005081019868089648,19,1.4,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(1.4000000000000001)}",0.8435754189944135,0.8314606741573034,0.8258426966292135,0.8202247191011236,0.8651685393258427,0.8372544096415794,0.01595593131039699,245,0.16274559035842062
284,0.009456110000610352,0.00026156278062443213,0.003786468505859375,0.0004342563513324873,19,1.5,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(1.5000000000000002)}",0.8324022346368715,0.8314606741573034,0.8314606741573034,0.8202247191011236,0.8651685393258427,0.8361433682756889,0.01519022893408648,332,0.16385663172431109
285,0.009254932403564453,0.0003876310121479522,0.0036000728607177733,0.0004896483663515566,19,1.6,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(1.6)}",0.8324022346368715,0.8314606741573034,0.8314606741573034,0.8202247191011236,0.8707865168539326,0.8372669637813068,0.01734987106564281,146,0.16273303621869317
286,0.00839996337890625,0.0010192722683350062,0.002999687194824219,6.843900725558913e-07,19,1.7,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(1.7000000000000002)}",0.8324022346368715,0.8314606741573034,0.8314606741573034,0.8202247191011236,0.8707865168539326,0.8372669637813068,0.01734987106564281,146,0.16273303621869317
287,0.00840001106262207,0.0010204230891975846,0.003200531005859375,0.00039970955491660013,19,1.8,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(1.8000000000000003)}",0.8324022346368715,0.8314606741573034,0.8314606741573034,0.8202247191011236,0.8707865168539326,0.8372669637813068,0.01734987106564281,146,0.16273303621869317
288,0.008436203002929688,0.0010435214884888693,0.003200197219848633,0.00039987566929968805,19,1.9,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(1.9000000000000001)}",0.8324022346368715,0.8314606741573034,0.8314606741573034,0.8202247191011236,0.8707865168539326,0.8372669637813068,0.01734987106564281,146,0.16273303621869317
